title,text,label
URGENT: Solar Flares Will Knock Out Internet for Six Months,"Independent astronomers warn that an unprecedented coronal mass ejection is heading toward Earth and will strike within seventy-two hours. The electromagnetic pulse is predicted to destroy unshielded electronics globally, causing a six-month internet blackout. Preppers are advised to withdraw cash and stockpile fuel immediately. Mainstream observatories remain silent because governments want to prevent panic and bank runs.",fake
University Study Examines Remote Learning Outcomes,University education researchers published a longitudinal study examining academic performance indicators and social development metrics among students participating in remote learning environments during recent academic terms. Results indicate mixed outcomes depending on subject matter and household support levels.,real
Health Organization Updates Cardiovascular Guidelines,International health organization panels revised clinical practice guidelines recommending expanded cardiovascular risk screening protocols for adult populations including updated cholesterol threshold measurements and lifestyle assessments. The changes reflect new evidence from decade long cohort studies.,real
City Council Approves Light Rail Expansion Funding,Municipal legislators approved a comprehensive funding package for light rail expansion connecting downtown commercial districts with suburban residential areas to reduce traffic congestion and carbon emissions. Construction is scheduled to begin next spring with service expected to launch within four years.,real
Library Association Advocates for Digital Literacy,The national library association issued policy recommendations advocating for expanded digital literacy instruction in public schools and community centers to address information access disparities among demographic groups. The proposal includes funding for public internet terminals and training workshops.,real
National Parks Report Record Annual Visitor Numbers,National park administrators reported a twelve percent increase in annual visitation compared to the previous fiscal year attributing growth to improved accessibility infrastructure and expanded educational programming. Conservation groups expressed concern about the environmental impact of increased foot traffic in sensitive ecosystems.,real
REVEALED: Chocolate Manufacturers Use Child Labor Ghosts,A paranormal investigator working undercover in a cocoa processing plant captured thermal images of small spectral figures operating machinery during the night shift. Management allegedly pays shamans to bind the spirits of deceased child laborers to the factory floor to reduce wage costs. The investigator was fired after attempting to perform an exorcism in the roasting room.,fake
WARNING: Laundry Detergent Contains Nano Trackers,Microscopy enthusiasts examining popular laundry detergent powders discovered microscopic crystalline structures that assemble into antenna-like configurations when dissolved in water. These structures allegedly remain embedded in clothing fibers and transmit location and biometric data through radio frequency identification. Washing at high temperatures does not destroy the trackers according to independent lab tests.,fake
SHOCKING: Rainwater is No Longer Safe Due to Chemtrail Residue,Independent chemists collected rainwater samples from fifty residential locations and detected elevated concentrations of aluminum and barium compounds consistent with aerosolized dispersal at altitude. The concentrations exceed agricultural soil safety thresholds. Municipal water authorities refuse to comment on the findings and have suspended independent testing contracts.,fake
Medical Researchers Identify Novel Antibiotic Compound,A multi institutional research collaboration identified a novel peptide compound demonstrating efficacy against antibiotic resistant bacterial strains in preclinical laboratory and animal model testing protocols. The discovery addresses a growing public health concern as existing antibiotics lose effectiveness.,real
ALERT: 5G Towers Emitting Mind Control Frequencies,Electromagnetic spectrum analysts measured anomalous low-frequency pulses emanating from fifth generation cellular towers between midnight and four in the morning. The frequencies match documented brainwave entrainment signatures associated with suggestibility and compliance. Residents living within a quarter mile report vivid dreams and unexplained urges to shop at specific retail chains.,fake
